assists,bonus,bps,clean_sheets,code,creativity,element_type,first_name,goals_conceded,goals_scored,ict_index,id,influence,minutes,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,value_season,web_name,yellow_cards,season,team_position,top_six
4,8,639,13,63426,554.5,DEF,Enda,39,2,153.5,291,641,3345,52,0,0,0,63426.jpg,3.7,0,0,Stevens,4.6,FALSE,None,a,Sheffield United,49,338,142,27.3,Stevens,7,19-20,9,No
4,7,602,13,82691,485.7,DEF,George,39,2,128.6,294,559.8,3420,50,0,0,0,82691.jpg,3.7,0,0,Baldock,11.6,FALSE,None,a,Sheffield United,49,241,142,28.4,Baldock,7,19-20,9,No
2,17,626,12,74230,520.4,DEF,Patrick,46,3,158.7,142,616,3196,55,0,0,0,74230.jpg,3.9,0,0,van Aanholt,5.7,FALSE,3,a,Crystal Palace,31,448,140,25.5,van Aanholt,3,18-19,12,No
6,8,691,15,58621,511.4,DEF,Kyle,22,0,117.1,379,542.4,2784,66,1,0,0,58621.jpg,4.3,1,0,Walker,12.3,FALSE,2,a,Manchester City,43,117,138,20.9,Walker,2,17-18,1,Yes
1,13,778,16,39194,205.7,DEF,Jan,31,0,122.7,380,774.4,3203,61,0,0,0,39194.jpg,3.8,0,0,Vertonghen,10.1,FALSE,5,a,Tottenham Hotspur,6,243,138,22.6,Vertonghen,4,17-18,3,Yes
5,15,647,11,12745,695,DEF,Leighton,34,2,141.9,125,570.8,2819,58,0,1,0,12745.jpg,4.2,0,0,Baines,11,FALSE,3,a,Everton,11,151,135,23.3,Baines,4,16-17,7,No
3,14,692,10,41320,528.3,DEF,Charlie,53,4,152.9,33,698.2,3060,52,0,0,0,41320.jpg,3.9,0,0,Daniels,9.9,FALSE,11,a,Bournemouth,91,302,134,25.8,Daniels,1,16-17,9,No
4,15,548,10,59949,308.9,DEF,Seamus,28,4,120.3,126,596,2316,56,0,0,0,59949.jpg,5.1,0,0,Coleman,4,FALSE,23,i,Everton,11,297,133,23.8,Coleman,3,16-17,7,No
1,9,592,13,108416,25.4,DEF,John,33,2,125.4,295,641.4,3187,47,0,0,0,108416.jpg,3.7,1,0,Egan,7.1,FALSE,None,a,Sheffield United,49,587,133,28.3,Egan,3,19-20,9,No
1,10,675,15,41270,158.1,DEF,David,26,1,109.1,570,651,2954,62,0,0,0,41270.jpg,4,0,0,Luiz Moreira Marinho,5,FALSE,30,a,Chelsea,8,280,132,21.3,David Luiz,6,16-17,1,Yes
4,11,656,12,98745,561,DEF,HÃ©ctor,44,2,160.1,7,554,3050,59,0,0,0,98745.jpg,3.8,0,0,BellerÃ­n,10.3,FALSE,24,a,Arsenal,3,484,132,22.4,BellerÃ­n,5,17-18,6,Yes
1,14,576,7,19272,74.3,DEF,Gareth,45,6,135.4,436,913.8,3140,50,1,0,0,19272.jpg,3.6,0,0,McAuley,24.7,FALSE,23,a,West Bromwich Albion,35,367,131,26.2,McAuley,5,16-17,10,No
6,9,486,11,49013,358.1,DEF,Victor,20,3,125.9,102,417,2109,65,0,0,0,49013.jpg,4.7,0,0,Moses,2.9,FALSE,15,a,Chelsea,8,482,131,20.2,Moses,3,17-18,5,Yes
2,15,604,10,38411,238.7,DEF,Nacho,29,5,124,10,693.6,2241,57,0,0,0,38411.jpg,4.6,0,0,Monreal,8,FALSE,18,a,Arsenal,3,305,130,22.8,Monreal,3,17-18,6,Yes
6,16,700,8,41328,708.7,DEF,CÃ©sar,53,2,205.4,105,905.2,3229,61,0,0,0,41328.jpg,3.6,0,0,Azpilicueta,8.8,FALSE,None,a,Chelsea,8,438,130,21.3,Azpilicueta,1,19-20,4,Yes
